,Geneid,TPM,Log
26026,LOC_Os05g37780,10.57274235,1.063436284
26027,LOC_Os05g37790,0,0
26028,LOC_Os05g37800,36.5912917,1.575087249
26029,LOC_Os05g37810,0.065926268,0.027727165
26030,LOC_Os05g37820,82.80482018,1.923268999
26031,LOC_Os05g37830,223.5323677,2.351278956
26032,LOC_Os05g37840,0,0
26033,LOC_Os05g37860,0.077786807,0.032532863
26034,LOC_Os05g37870,0.032466502,0.01387597
26035,LOC_Os05g37880,151.9147824,2.184449471
26036,LOC_Os05g37884,71.37343521,1.859579187
26037,LOC_Os05g37890,5.305387363,0.799711772
26038,LOC_Os05g37900,38.57143888,1.597381842
26039,LOC_Os05g37910,50.83784284,1.714646921
26040,LOC_Os05g37920,11.05765875,1.081262988
26041,LOC_Os05g37930,310.7179587,2.493761824
26042,LOC_Os05g37940,0.167798249,0.06736782
26043,LOC_Os05g37950,402.431436,2.605769736
26044,LOC_Os05g37970,92.0009725,1.96848749
26045,LOC_Os05g37980,20.18216923,1.325970433
26046,LOC_Os05g37990,0,0
26047,LOC_Os05g38000,21.51313126,1.352435903
26048,LOC_Os05g38010,1.18721955,0.339892379
26049,LOC_Os05g38020,9.587761723,1.024804159
26050,LOC_Os05g38030,0.33164308,0.124387837
26051,LOC_Os05g38040,347.7055667,2.54245888
26052,LOC_Os05g38050,0,0
26053,LOC_Os05g38060,0.031915517,0.013644143
26054,LOC_Os05g38070,0,0
26055,LOC_Os05g38080,0,0
26056,LOC_Os05g38090,0,0
26057,LOC_Os05g38100,0.009774171,0.004224257
26058,LOC_Os05g38110,0.01809589,0.007788684
26059,LOC_Os05g38120,113.1650382,2.057533126
26060,LOC_Os05g38130,36.26160529,1.571261561
26061,LOC_Os05g38140,161.5158263,2.21089566
26062,LOC_Os05g38150,193.3545148,2.288594634
26063,LOC_Os05g38160,76.77352632,1.890831791
26064,LOC_Os05g38170,51.1903492,1.717590203
26065,LOC_Os05g38180,66.32616359,1.828183868
26066,LOC_Os05g38190,10.30739404,1.053362527
26067,LOC_Os05g38210,43.19394887,1.645362809
26068,LOC_Os05g38219,21.79044078,1.357752725
26069,LOC_Os05g38230,50.45286489,1.711409561
26070,LOC_Os05g38240,0.018720831,0.008055187
26071,LOC_Os05g38250,52.69199007,1.729909501
26072,LOC_Os05g38260,19.45660295,1.310833516
26073,LOC_Os05g38264,43.86346513,1.651892814
26074,LOC_Os05g38270,134.7045365,2.132594366
26075,LOC_Os05g38280,0.279267094,0.106961229
26076,LOC_Os05g38290,37.76811727,1.588474711
26077,LOC_Os05g38300,1.604791249,0.415772924
26078,LOC_Os05g38310,0.288483255,0.110078779
26079,LOC_Os05g38320,4.130369895,0.710148679
26080,LOC_Os05g38330,50.32785304,1.710353099
26081,LOC_Os05g38340,0.058107286,0.024529705
26082,LOC_Os05g38350,71.14304385,1.858194462
26083,LOC_Os05g38360,19.55556097,1.312929333
26084,LOC_Os05g38370,95.45402965,1.984320376
26085,LOC_Os05g38380,1.245902002,0.351390802
26086,LOC_Os05g38390,35.42159975,1.561359017
26087,LOC_Os05g38400,119.2136818,2.079953898
26088,LOC_Os05g38410,0.660851547,0.220330815
26089,LOC_Os05g38420,2.054197057,0.484897054
26090,LOC_Os05g38430,0.025302006,0.010851807
26091,LOC_Os05g38440,0,0
26092,LOC_Os05g38450,0.026815456,0.011492397
26093,LOC_Os05g38460,23.20253889,1.383860927
26094,LOC_Os05g38470,25.56592347,1.424324917
26095,LOC_Os05g38480,139.1425666,2.146570067
26096,LOC_Os05g38490,23.01305574,1.380447429
26097,LOC_Os05g38500,72.56543699,1.866673819
26098,LOC_Os05g38510,0.220494427,0.086535801
26099,LOC_Os05g38520,575.8404244,2.761055688
26100,LOC_Os05g38530,110.9410389,2.048989333
26101,LOC_Os05g38540,0.02523273,0.010822462
26102,LOC_Os05g38550,518.09497,2.715246821
26103,LOC_Os05g38560,0,0
